Ward_ID,Year,Month,Actual_Cases,Linear Regression,GBM,Random Forest,XGBoost,MLP
161,2023,12,43.0,42.85,38.74,39.93,39.67,38.95
162,2021,3,0.0,2.77,3.85,6.03,4.27,0.45
162,2021,4,9.0,5.07,6.28,6.83,6.0,8.15
162,2021,5,29.0,17.68,15.34,15.56,15.11,17.09
162,2021,6,34.0,42.48,36.7,44.64,37.44,42.31
162,2021,7,37.0,40.26,39.67,39.78,40.38,39.7
162,2021,8,34.0,37.6,38.21,37.51,37.81,38.82
162,2021,9,45.0,48.98,48.25,49.89,47.42,49.36
162,2021,10,57.0,53.88,55.31,58.57,56.5,55.79
162,2021,11,30.0,28.41,32.26,35.82,33.83,30.92
162,2021,12,14.0,15.58,15.02,16.01,14.96,15.59
162,2022,1,6.0,6.79,9.12,10.17,9.95,8.09
162,2022,2,16.0,12.0,15.61,13.15,14.05,13.16
162,2022,3,7.0,1.64,2.81,3.49,1.94,2.68
162,2022,4,8.0,11.37,12.16,12.19,12.02,12.79
162,2022,5,16.0,14.01,12.06,14.14,11.92,13.51
162,2022,6,40.0,39.42,40.39,41.14,37.89,38.27
162,2022,7,46.0,40.83,42.92,43.97,42.82,41.82
162,2022,8,56.0,58.76,56.2,55.38,57.24,58.23
162,2022,9,62.0,60.49,60.01,58.82,60.47,58.9
162,2022,10,51.0,49.97,50.87,49.1,49.92,51.09
162,2022,11,29.0,29.81,27.52,31.4,29.37,31.83
162,2022,12,18.0,21.28,20.14,19.7,20.29,19.5
162,2023,1,11.0,6.23,10.22,11.0,10.5,7.88
162,2023,2,13.0,11.61,13.57,15.88,14.05,13.28
162,2023,3,11.0,5.78,6.65,5.06,7.15,6.76
162,2023,4,10.0,14.38,13.96,12.24,13.91,14.53
162,2023,5,13.0,12.1,10.12,11.68,10.95,13.12
162,2023,6,31.0,28.18,28.36,28.73,29.76,30.21
162,2023,7,42.0,41.64,44.08,46.29,44.52,42.39
162,2023,8,60.0,56.94,56.05,57.49,55.82,56.58
162,2023,9,70.0,67.01,66.15,65.13,65.76,66.87
162,2023,10,41.0,41.13,45.6,44.51,46.06,44.83
162,2023,11,34.0,34.52,36.43,34.17,36.06,34.29
162,2023,12,23.0,25.57,21.34,20.69,20.06,22.84
163,2021,3,7.0,6.92,6.59,5.9,6.52,5.89
163,2021,4,20.0,17.04,17.55,14.91,17.28,15.93
163,2021,5,15.0,21.34,20.09,20.96,18.99,17.97
163,2021,6,32.0,36.53,36.03,39.12,38.38,38.32
163,2021,7,66.0,59.48,62.92,63.65,63.21,58.64
163,2021,8,66.0,68.31,69.93,69.92,70.59,67.16
163,2021,9,64.0,63.93,60.38,57.23,59.03,61.6
163,2021,10,57.0,55.99,57.14,51.83,56.3,57.74
163,2021,11,35.0,32.4,35.94,37.55,36.62,34.16
163,2021,12,14.0,21.03,18.84,19.34,19.94,20.35
163,2022,1,7.0,8.97,11.61,13.18,11.28,11.13
163,2022,2,12.0,11.95,12.53,13.24,12.92,13.66
163,2022,3,3.0,3.07,4.59,6.39,4.62,3.43
163,2022,4,8.0,9.05,9.13,9.35,9.42,9.03
163,2022,5,25.0,14.51,15.56,14.6,15.64,15.64
163,2022,6,37.0,34.1,35.34,35.13,35.01,34.44
163,2022,7,46.0,43.8,46.12,44.97,46.15,44.33
163,2022,8,41.0,38.99,38.52,37.33,38.12,40.23
163,2022,9,43.0,45.5,45.9,42.6,44.02,45.84
163,2022,10,52.0,56.4,59.85,60.65,59.47,57.52
163,2022,11,43.0,39.14,41.42,40.3,41.23,40.13
163,2022,12,17.0,23.87,22.13,20.75,21.15,20.97
163,2023,1,13.0,14.12,15.19,14.21,14.74,15.42
163,2023,2,10.0,9.14,11.52,11.41,11.44,10.88
163,2023,3,6.0,4.63,4.01,6.5,4.17,5.98
163,2023,4,9.0,9.03,8.03,7.53,7.76,8.61
163,2023,5,21.0,13.78,14.67,13.77,14.66,13.86
163,2023,6,31.0,33.4,35.68,36.87,36.03,34.01
163,2023,7,62.0,61.91,61.43,58.65,60.93,61.44
163,2023,8,50.0,49.63,50.7,50.56,50.24,47.01
163,2023,9,48.0,52.32,55.7,54.4,54.62,52.27
163,2023,10,38.0,35.69,35.54,34.5,34.63,36.01
163,2023,11,39.0,40.87,39.39,41.65,39.62,38.44
163,2023,12,20.0,16.63,17.16,17.43,16.63,14.93
164,2021,3,19.0,17.9,16.99,16.13,16.68,17.13
164,2021,4,17.0,8.39,8.64,8.8,9.35,11.36
164,2021,5,22.0,22.17,20.69,21.92,21.78,21.85
164,2021,6,54.0,46.34,46.93,43.87,45.51,46.68
164,2021,7,61.0,53.6,55.74,52.17,55.91,53.94
164,2021,8,32.0,38.13,38.72,37.89,37.69,38.41
164,2021,9,24.0,37.72,36.95,34.1,35.58,38.11
164,2021,10,23.0,28.94,31.42,30.84,30.85,26.4
164,2021,11,45.0,35.89,39.03,40.51,42.08,34.57
164,2021,12,27.0,20.77,21.48,23.38,23.5,19.53
164,2022,1,5.0,11.42,13.04,12.42,12.28,13.15
164,2022,2,25.0,10.1,10.29,10.64,11.09,14.97
164,2022,3,16.0,15.62,15.77,16.01,15.25,14.41
164,2022,4,16.0,12.41,11.82,10.74,12.98,15.14
164,2022,5,25.0,22.92,21.86,22.2,22.38,22.96
164,2022,6,44.0,39.91,42.14,42.48,42.17,42.29
164,2022,7,45.0,46.6,48.99,48.79,47.85,46.25
164,2022,8,53.0,51.36,51.07,50.8,51.88,47.74
164,2022,9,50.0,64.53,58.55,61.81,59.55,60.73
164,2022,10,51.0,46.2,48.09,47.51,47.9,48.52
164,2022,11,38.0,34.38,35.34,37.37,37.4,36.07
164,2022,12,19.0,24.91,22.1,25.12,23.64,22.99
164,2023,1,15.0,12.39,12.88,12.86,12.3,14.37
164,2023,2,8.0,6.7,8.24,8.34,8.27,9.38
164,2023,3,16.0,14.92,13.23,12.64,12.66,14.41
164,2023,4,25.0,12.42,13.44,14.03,13.58,14.76
164,2023,5,20.0,21.54,20.99,21.37,20.9,21.2
164,2023,6,19.0,34.7,30.88,33.66,29.94,32.91
164,2023,7,36.0,40.77,35.8,39.86,36.38,38.01
164,2023,8,38.0,41.02,37.87,43.12,38.41,38.09
164,2023,9,42.0,49.58,43.44,50.59,42.7,46.54
164,2023,10,36.0,35.15,35.19,38.57,35.62,34.19
164,2023,11,33.0,30.08,31.19,33.82,31.34,31.44
164,2023,12,18.0,23.14,20.79,23.23,23.17,20.62
165,2021,3,21.0,21.37,22.1,23.49,21.87,19.58
165,2021,4,18.0,18.01,21.01,21.52,21.31,17.62
165,2021,5,18.0,22.36,24.82,25.0,24.85,21.77
165,2021,6,43.0,46.88,43.04,47.19,43.77,44.35
165,2021,7,80.0,77.9,81.15,84.53,81.67,81.22
165,2021,8,49.0,45.51,49.99,47.72,49.77,46.56
165,2021,9,62.0,64.44,64.32,62.09,63.61,64.12
165,2021,10,68.0,63.58,67.43,60.73,64.08,63.86
165,2021,11,60.0,59.09,59.04,57.49,59.13,57.08
165,2021,12,55.0,61.21,55.88,51.75,55.74,54.98
165,2022,1,30.0,33.75,36.31,35.99,35.97,32.17
165,2022,2,26.0,38.59,35.92,36.89,36.66,36.45
165,2022,3,26.0,25.34,26.85,27.43,27.34,25.88
165,2022,4,33.0,36.84,39.04,38.9,38.55,35.15
165,2022,5,21.0,17.14,19.32,21.43,19.8,18.73
165,2022,6,47.0,52.06,52.17,52.36,52.44,52.94
165,2022,7,69.0,62.44,67.87,69.5,68.28,65.02
165,2022,8,84.0,80.63,84.52,84.41,85.41,80.02
165,2022,9,60.0,66.07,65.53,65.66,67.25,65.36
165,2022,10,55.0,58.12,59.36,56.5,57.67,59.35
165,2022,11,30.0,32.43,36.71,37.71,35.51,33.11
165,2022,12,32.0,35.61,31.56,30.56,33.11,33.68
165,2023,1,37.0,32.6,37.27,38.65,36.13,33.5
165,2023,2,10.0,9.48,12.2,11.91,12.66,12.1
165,2023,3,54.0,52.86,47.37,43.16,45.97,52.01
165,2023,4,37.0,29.01,32.31,35.26,32.01,28.13
165,2023,5,39.0,49.02,42.06,43.16,42.78,46.11
165,2023,6,77.0,70.35,72.62,67.72,70.43,74.15
165,2023,7,80.0,84.01,88.39,91.71,87.69,89.04
165,2023,8,89.0,82.17,79.7,79.41,85.05,82.82
165,2023,9,82.0,81.93,75.4,81.82,75.35,80.72
165,2023,10,44.0,53.95,51.16,53.96,52.01,55.97
165,2023,11,40.0,39.76,46.07,46.34,46.22,42.25
165,2023,12,49.0,50.73,45.37,46.31,46.18,46.03
166,2021,3,23.0,16.35,15.36,15.4,14.83,16.3
166,2021,4,8.0,17.32,17.7,18.96,18.13,19.28
166,2021,5,30.0,30.58,28.86,28.58,29.5,30.94
166,2021,6,62.0,55.53,55.42,56.38,56.74,52.97
166,2021,7,52.0,55.94,56.14,56.11,56.05,56.6
166,2021,8,49.0,52.54,50.17,51.51,49.32,50.76
166,2021,9,61.0,61.42,60.52,59.8,61.18,61.13
166,2021,10,68.0,59.71,65.35,62.9,63.51,61.24
166,2021,11,41.0,38.99,41.76,40.77,41.02,40.09
166,2021,12,42.0,38.04,32.43,31.0,32.87,34.65
166,2022,1,21.0,16.63,16.06,14.12,15.43,17.53
