YearMonth,Linear Regression_MAE,Linear Regression_R2,GBM_MAE,GBM_R2,Random Forest_MAE,Random Forest_R2,XGBoost_MAE,XGBoost_R2,MLP_MAE,MLP_R2,MAE_Variance,Agreement_Score
2021-03,3.5295676710229142,0.7793560152783029,3.6491491967978984,0.7538437427050865,4.195135250030548,0.69289538200823,3.6973180770874023,0.7556341290473938,3.9566728103148225,0.7372180379904137,0.267841546159318,0.7887420971724011
2021-04,3.644566231924499,0.7429926740266859,3.606449488461403,0.7494432657751675,4.308365303680257,0.6611449510959212,3.738429069519043,0.7320285439491272,3.3944692529081655,0.7605885153822569,0.34255091043491764,0.744850710857625
2021-05,4.152630849748256,0.6279911371518646,4.041648746307304,0.6327486629184641,4.6512209648769,0.4861401817405031,3.8420960903167725,0.6321240067481995,3.6231093715024976,0.7014480755713184,0.3862615964235562,0.721364569703092
2021-06,4.480024334674204,0.8337594197647501,4.090442993242131,0.8434952072381873,5.4207163467840935,0.7378402268878674,4.1226091384887695,0.8492193222045898,4.291834588513719,0.8464424847191155,0.5476837645153209,0.6461268270221624
2021-07,4.623312742545363,0.7664017036612156,4.641168925182508,0.7309657519993836,5.251400600563677,0.7068031711076768,4.722207069396973,0.7388405799865723,4.826009726287405,0.7311199727020519,0.257931535187443,0.7949558239280416
2021-08,4.033847501181197,0.9187177282028545,3.962872117383986,0.912549749877766,4.274500808730525,0.9030548866050836,3.833099365234375,0.9191526174545288,3.687833344236651,0.9332422081451599,0.22053265412514989,0.8193144170458735
2021-09,5.049213859890299,0.8171116252952471,4.668457393186007,0.8722960283503027,5.213189631799925,0.8273573046131737,4.494948387145996,0.8793830871582031,5.016544124895949,0.8246489465796093,0.29620483460545155,0.7714830043080246
2021-10,4.653942011463639,0.8623744310353707,3.302946223613993,0.9261901114435136,4.547985392838975,0.8681888672594079,3.327448606491089,0.9219321012496948,3.9854836531065883,0.8910364327933455,0.6441485221998506,0.6082175585098676
2021-11,4.537227392965566,0.8132356874871816,4.669718085609343,0.7919038855645009,5.729695559928529,0.7368561732015468,4.674598693847656,0.7920612096786499,4.83607438471578,0.7889057839878942,0.4814990963978179,0.6749919742991703
2021-12,4.271458518192046,0.7949094815034962,4.249157142790938,0.7833130167912039,4.900179843092403,0.7096859346841157,4.263258934020996,0.7927160263061523,4.021313894070242,0.8045636955035059,0.32946778202260596,0.7521806948030247
